Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,4491.35,0,4426.625,0,4491.35,0
1,4519.519,0,4443.05,0,4519.519,0
2,4519.519,0,4453.491,0,4519.519,0
3,4519.519,0,4455.821,0,4519.519,0
4,4519.74,0,4480.312,0,4519.74,0
5,4519.74,0,4464.333,0,4519.74,0
6,4519.74,0,4478.239,0,4519.74,0
7,25598.07,0,6076.305,0,25598.07,0
8,33228.34,0,8844.749,0,33228.34,0
9,33628.34,0,15392.76,0,33628.34,0
10,33794.13,0,12942.61,0,33794.13,0
11,35225.21,0,9424.066,0,35225.21,0
12,35225.21,0,10778.61,0,35225.21,0
13,35225.21,0,9814.174,0,35225.21,0
14,39021.98,0,12416.01,0,39021.98,0
15,39021.98,0,8759.743,0,39021.98,0
16,39021.98,0,11268.48,0,39021.98,0
17,39021.98,0,9131.082,0,39021.98,0
18,39021.98,0,8716.414,0,39021.98,0
19,39021.98,0,8733.514,0,39021.98,0
20,39021.98,0,11520.75,0,39021.98,0
21,39021.98,0,15631.54,0,39021.98,0
22,39021.98,0,15938.67,0,39021.98,0
23,39021.98,0,20052.8,0,39021.98,0
24,40120.45,0,22212.63,0,40120.45,0
25,40120.45,0,21269.49,0,40120.45,0
26,40120.45,0,21334.88,0,40120.45,0
27,40120.45,0,21599.33,0,40120.45,0
28,40320.45,0,15577.57,0,40320.45,0
29,42121.74,0,13595.95,0,42121.74,0
30,42288.77,0,16207.67,0,42288.77,0
31,42288.77,0,13216.24,0,42288.77,0
32,42288.77,0,15685.25,0,42288.77,0
33,42288.77,0,20038.11,0,42288.77,0
34,43523.51,0,23389.06,0,43523.51,0
35,42923.63,0,19875.63,0,43523.51,0
36,42923.63,0,19039.97,0,43523.51,0
37,42923.63,0,21390.81,0,43523.51,0
38,42923.63,0,28148.44,0,43523.51,0
39,45491.46,0,28632.03,0,45491.46,0
40,49755.93,0,29770.41,0,49755.93,0
41,79258.04,0,29721.59,0,79258.04,0
42,79258.16,0,32628.13,0,79258.16,0
43,79258.16,0,22494.34,0,79258.16,0
44,79258.04,0,18740.37,0,79258.16,0
45,79258.16,0,16723.6,0,79258.16,0
46,79258.16,0,15342.02,0,79258.16,0
47,79258.04,0,16471.77,0,79258.16,0
48,79258.04,0,20606.48,0,79258.16,0
49,79258.16,0,16483.92,0,79258.16,0
50,79258.16,0,20017.06,0,79258.16,0
51,79258.04,0,19735.69,0,79258.16,0
52,79258.04,0,22926.43,0,79258.16,0
53,79258.16,0,26788.64,0,79258.16,0
54,79258.16,0,20085.9,0,79258.16,0
55,79258.16,0,24758.08,0,79258.16,0
56,79258.04,0,27063.36,0,79258.16,0
57,79258.16,0,24833.5,0,79258.16,0
58,79258.16,0,23934.44,0,79258.16,0
59,79258.16,0,31511.56,0,79258.16,0
60,79258.04,0,22634.14,0,79258.16,0
61,79258.16,0,26387.51,0,79258.16,0
62,79258.16,0,22918.29,0,79258.16,0
63,79258.16,0,22722.78,0,79258.16,0
64,79258.04,0,24797.59,0,79258.16,0
65,79258.16,0,28425.43,0,79258.16,0
66,79258.16,0,35328.92,0,79258.16,0
67,79258.04,0,27485.07,0,79258.16,0
68,79258.04,0,22975.33,0,79258.16,0
69,79258.16,0,25203.51,0,79258.16,0
70,79258.16,0,22416.63,0,79258.16,0
71,79258.04,0,23577.09,0,79258.16,0
72,79258.04,0,20849.73,0,79258.16,0
73,79258.16,0,20410.58,0,79258.16,0
74,79258.16,0,21852.71,0,79258.16,0
75,79258.16,0,27310.3,0,79258.16,0
76,79258.04,0,21271.39,0,79258.16,0
77,79258.16,0,26496.87,0,79258.16,0
78,79258.16,0,22761.3,0,79258.16,0
79,79258.16,0,22662.12,0,79258.16,0
80,79258.04,0,28796.13,0,79258.16,0
81,79258.16,0,25471.36,0,79258.16,0
82,79258.16,0,23131.84,0,79258.16,0
83,79258.16,0,27438.16,0,79258.16,0
84,79258.04,0,22202.68,0,79258.16,0
85,79258.16,0,16085.26,0,79258.16,0
86,79258.16,0,21994.01,0,79258.16,0
87,79258.04,0,24321.7,0,79258.16,0
88,79258.04,0,20971.82,0,79258.16,0
89,79258.16,0,36739.63,0,79258.16,0
90,79258.16,0,26754.85,0,79258.16,0
91,79258.04,0,24853,0,79258.16,0
92,79258.04,0,21788.58,0,79258.16,0
93,79258.16,0,26144.19,0,79258.16,0
94,92549.31,0,23443.53,0,92549.31,0
95,92549.31,0,24734.61,0,92549.31,0
96,92549.44,0,19307.3,0,92549.44,0
97,92549.31,0,21731.39,0,92549.44,0
98,92549.31,0,17906.54,0,92549.44,0
99,92549.31,0,17990.98,0,92549.44,0
100,92549.44,0,19080.46,0,92549.44,0
101,92549.31,0,19836.82,0,92549.44,0
102,92549.31,0,21268.76,0,92549.44,0
103,92549.31,0,15101.18,0,92549.44,0
104,93552.37,0,28545.42,0,93552.37,0
105,93552.37,0,20238.71,0,93552.37,0
106,93552.37,0,26220.05,0,93552.37,0
107,93552.37,0,21806.05,0,93552.37,0
108,93552.37,0,21020.24,0,93552.37,0
109,93552.37,0,30966.48,0,93552.37,0
110,93552.37,0,22014.42,0,93552.37,0
111,93552.37,0,27692.88,0,93552.37,0
112,93552.37,0,19285.96,0,93552.37,0
113,93552.37,0,22287.44,0,93552.37,0
114,93552.37,0,22838.37,0,93552.37,0
115,93552.37,0,19195.84,0,93552.37,0
116,93552.37,0,20834.46,0,93552.37,0
117,93552.37,0,15505.39,0,93552.37,0
118,93552.37,0,22621.43,0,93552.37,0
119,93552.37,0,17650.99,0,93552.37,0
120,97352.13,0,27241.17,0,97352.13,0
121,97352,0,23055.56,0,97352.13,0
122,97352,0,32810.2,0,97352.13,0
123,97352,0,23820.77,0,97352.13,0
124,97352.13,0,20279.7,0,97352.13,0
125,97352,0,20100.65,0,97352.13,0
126,97352,0,16717.09,0,97352.13,0
127,97352.13,0,19260.03,0,97352.13,0
128,97352.13,0,21697,0,97352.13,0
129,97352,0,19804.36,0,97352.13,0
130,97352,0,17735.46,0,97352.13,0
131,97352.13,0,24872.2,0,97352.13,0
132,97352.13,0,23234.18,0,97352.13,0
133,97352,0,20486.66,0,97352.13,0
134,97352,0,25582.27,0,97352.13,0
135,97352,0,26870.79,0,97352.13,0
136,97352.13,0,27310.93,0,97352.13,0
137,97352,0,28965.32,0,97352.13,0
138,97352,0,28510.48,0,97352.13,0
139,97352,0,24743.08,0,97352.13,0
140,97352.13,0,20035.68,0,97352.13,0
141,97352,0,21861.81,0,97352.13,0
142,97352,0,19508.21,0,97352.13,0
143,97352,0,24767.59,0,97352.13,0
144,97352.13,0,27084.28,0,97352.13,0
145,97352,0,18937.81,0,97352.13,0
146,97352,0,23515.1,0,97352.13,0
147,97352.13,0,25499.51,0,97352.13,0
148,97352.13,0,20569.56,0,97352.13,0
149,97352,0,22747,0,97352.13,0
150,97352,0,18746.36,0,97352.13,0
151,97352.13,0,23951.45,0,97352.13,0
152,97352.13,0,23084.97,0,97352.13,0
153,97352,0,26254.56,0,97352.13,0
154,97352,0,21367.16,0,97352.13,0
155,97352,0,22247.56,0,97352.13,0
156,97352.13,0,16479.3,0,97352.13,0
157,97352,0,28549.99,0,97352.13,0
158,97352,0,19157.66,0,97352.13,0
159,97352,0,22013.54,0,97352.13,0
160,97352.13,0,20313.79,0,97352.13,0
161,97352,0,26300.28,0,97352.13,0
162,97352,0,20141.84,0,97352.13,0
163,97352,0,21908.43,0,97352.13,0
164,97352.13,0,24321.24,0,97352.13,0
165,97352,0,27189.32,0,97352.13,0
166,97352,0,22116.21,0,97352.13,0
167,97352.13,0,17369.67,0,97352.13,0
168,97352.13,0,22164.86,0,97352.13,0
169,97352,0,26569.26,0,97352.13,0
170,97352,0,16488.21,0,97352.13,0
171,97352.13,0,17911.43,0,97352.13,0
172,97352.13,0,22569.01,0,97352.13,0
173,97352,0,16152.71,0,97352.13,0
174,97352,0,17483.91,0,97352.13,0
175,97352,0,17133.76,0,97352.13,0
176,97352.13,0,12550.54,0,97352.13,0
177,97352,0,14722.94,0,97352.13,0
178,97352,0,13891.93,0,97352.13,0
179,97352,0,17415.17,0,97352.13,0
180,97352.13,0,16762.03,0,97352.13,0
181,97352,0,18165.54,0,97352.13,0
182,97352,0,19749.82,0,97352.13,0
183,97352,0,16556.3,0,97352.13,0
184,97352.13,0,20801.35,0,97352.13,0
185,97352,0,25255.05,0,97352.13,0
186,97352,0,24987.87,0,97352.13,0
187,97352.13,0,25291.14,0,97352.13,0
188,97352.13,0,17201.91,0,97352.13,0
189,97352,0,14195.38,0,97352.13,0
190,97352,0,12344.27,0,97352.13,0
191,97352.13,0,19748.43,0,97352.13,0
192,97352.13,0,24208.96,0,97352.13,0
193,97352,0,24371.24,0,97352.13,0
194,97352,0,21451.86,0,97352.13,0
195,97352,0,32179.29,0,97352.13,0
196,97352.13,0,26722.54,0,97352.13,0
197,97352,0,27926.03,0,97352.13,0
198,97352,0,31166.63,0,97352.13,0
199,97352,0,31131.2,0,97352.13,0
200,97352.13,0,34962.16,0,97352.13,0
201,97352,0,37611.79,0,97352.13,0
202,97352,0,29620.72,0,97352.13,0
203,97352,0,28550.18,0,97352.13,0
204,97352.13,0,23582.16,0,97352.13,0
205,97352,0,30327.24,0,97352.13,0
206,97352,0,25603.58,0,97352.13,0
207,97352.13,0,28595.35,0,97352.13,0
208,97352.13,0,22918.57,0,97352.13,0
209,97352,0,23787.84,0,97352.13,0
210,97352,0,25438.68,0,97352.13,0
211,97352.13,0,26134.61,0,97352.13,0
212,97352.13,0,24386.27,0,97352.13,0
213,97352,0,19145.52,0,97352.13,0
214,97352,0,21665.89,0,97352.13,0
215,97352,0,24914.39,0,97352.13,0
216,97352.13,0,26794.38,0,97352.13,0
217,97352,0,14609.59,0,97352.13,0
218,97352,0,14528.2,0,97352.13,0
219,97352,0,25310.08,0,97352.13,0
220,97352.13,0,28102.33,0,97352.13,0
221,97352,0,24675.22,0,97352.13,0
222,97352,0,22397.64,0,97352.13,0
223,97352,0,24083.09,0,97352.13,0
224,97352.13,0,23450.86,0,97352.13,0
225,97352,0,26514.65,0,97352.13,0
226,97352,0,20139.67,0,97352.13,0
227,97352.13,0,18117.61,0,97352.13,0
228,97352.13,0,29783.85,0,97352.13,0
229,97352,0,26827.56,0,97352.13,0
230,97352,0,30264.7,0,97352.13,0
231,97352.13,0,23771.91,0,97352.13,0
232,98552,0,25022.35,0,98552,0
233,98754.95,0,21606.62,0,98754.95,0
234,98754.95,0,20109.37,0,98754.95,0
235,98754.95,0,19642.89,0,98754.95,0
236,98552,0,18876.46,0,98754.95,0
237,98754.95,0,18850.71,0,98754.95,0
238,98754.95,0,19439.6,0,98754.95,0
239,98754.95,0,22749.96,0,98754.95,0
240,98552,0,23527.36,0,98754.95,0
241,98754.95,0,17028.71,0,98754.95,0
242,98754.95,0,27599.15,0,98754.95,0
243,98754.95,0,24777.96,0,98754.95,0
244,98552,0,22067.79,0,98754.95,0
245,98754.95,0,21210.06,0,98754.95,0
246,98754.95,0,17463.43,0,98754.95,0
247,98552,0,18888.13,0,98754.95,0
248,98552,0,16151.72,0,98754.95,0
249,98754.95,0,17348.09,0,98754.95,0
250,98754.95,0,23976.04,0,98754.95,0
251,98552,0,19925.43,0,98754.95,0
252,98552,0,24122.88,0,98754.95,0
253,98754.95,0,30956.37,0,98754.95,0
254,98754.95,0,28353.21,0,98754.95,0
255,98754.95,0,24009.79,0,98754.95,0
256,98552,0,25300.36,0,98754.95,0
257,98754.95,0,21645.97,0,98754.95,0
258,98754.95,0,17651.78,0,98754.95,0
259,98754.95,0,20691.71,0,98754.95,0
260,98552,0,25428.03,0,98754.95,0
261,98754.95,0,22870.12,0,98754.95,0
262,98754.7,0,21475,0,98754.95,0
263,96195.5,0,21219.96,0,98754.95,0
264,92542.18,0,24155.19,0,98754.95,0
265,97549.19,0,20925.81,0,98754.95,0
266,77401.02,0,21620.18,0,98754.95,0
267,96595.5,0,37057.08,0,98754.95,0
268,98553.23,0,27994.15,0,98754.95,0
269,97997.7,0,28409.55,0,98754.95,0
270,96595.13,0,22978.21,0,98754.95,0
271,95993.8,0,23843.85,0,98754.95,0
272,96395.87,0,26396.88,0,98754.95,0
273,91997.21,0,24230.82,0,98754.95,0
274,91997.34,0,26144.71,0,98754.95,0
275,96394.52,0,16979.06,0,98754.95,0
276,91550.53,0,14959.74,0,98754.95,0
277,96795.87,0,19917.63,0,98754.95,0
278,98198.44,0,23727.58,0,98754.95,0
279,97998.44,0,29120.26,0,98754.95,0
280,97552.61,0,24535.9,0,98754.95,0
281,97397.95,0,17558.63,0,98754.95,0
282,98149.55,0,14571.3,0,98754.95,0
283,97395.02,0,15268.44,0,98754.95,0
284,97550.29,0,19894.45,0,98754.95,0
285,97795.26,0,21459,0,98754.95,0
286,96395.02,0,23676.45,0,98754.95,0
287,97150.05,0,20868.28,0,98754.95,0
288,97150.41,0,22367.99,0,98754.95,0
289,97798.8,0,28345.09,0,98754.95,0
290,95792.95,0,25195.4,0,98754.95,0
291,95794.28,0,22538.12,0,98754.95,0
292,92398.2,0,21593.68,0,98754.95,0
293,98149.55,0,20409.61,0,98754.95,0
294,96595.13,0,23296.98,0,98754.95,0
295,94198.31,0,26058.26,0,98754.95,0
296,90953.84,0,16758.63,0,98754.95,0
297,96394.77,0,15100.45,0,98754.95,0
298,97349.07,0,14652.32,0,98754.95,0
299,98754.95,0,17643.55,0,98754.95,0
300,93354.83,0,22985.33,0,98754.95,0
301,98754.95,0,26789.1,0,98754.95,0
302,98754.95,0,17489.81,0,98754.95,0
303,98754.95,0,21643.23,0,98754.95,0
304,98552,0,24851.89,0,98754.95,0
305,98754.95,0,23441.53,0,98754.95,0
306,98754.95,0,27952.04,0,98754.95,0
307,98552,0,27105.63,0,98754.95,0
308,98552,0,26592.54,0,98754.95,0
309,98754.95,0,23814.19,0,98754.95,0
310,98754.95,0,25153.45,0,98754.95,0
311,98552,0,28744.8,0,98754.95,0
312,98552,0,31061.86,0,98754.95,0
313,98754.95,0,25915.06,0,98754.95,0
314,98754.95,0,24433.29,0,98754.95,0
315,98754.95,0,22407.33,0,98754.95,0
316,98552,0,21991.59,0,98754.95,0
317,98754.95,0,23229.61,0,98754.95,0
318,98754.95,0,21316.2,0,98754.95,0
319,98754.95,0,24016.79,0,98754.95,0
320,98552,0,21283.3,0,98754.95,0
321,98754.95,0,16963.07,0,98754.95,0
322,98754.95,0,23045.75,0,98754.95,0
323,98754.95,0,21020.98,0,98754.95,0
324,98552,0,21769.83,0,98754.95,0
325,98754.95,0,18198.38,0,98754.95,0
326,98754.95,0,24105.38,0,98754.95,0
327,98552,0,26387.9,0,98754.95,0
328,98552,0,26814.51,0,98754.95,0
329,98754.95,0,17443.89,0,98754.95,0
330,98754.95,0,13650.48,0,98754.95,0
