Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,4611.017,0,4567.313,0,4611.017,0
1,4627.555,0,4588.48,0,4627.555,0
2,4627.555,0,4589.805,0,4627.555,0
3,4640.062,0,4609.958,0,4640.062,0
4,4657.773,0,4616.602,0,4657.773,0
5,4663.306,0,4616.242,0,4663.306,0
6,4674.596,0,4623.313,0,4674.596,0
7,4675.089,0,4655.544,0,4675.089,0
8,8288.942,0,4837.972,0,8288.942,0
9,8319.882,0,5155.656,0,8319.882,0
10,4580.607,0,4521.492,0,4580.607,0
11,4587.151,0,4560.899,0,4587.151,0
12,4596.827,0,4572.912,0,4596.827,0
13,10465.94,0,4912.982,0,10465.94,0
14,58236.2,0,11851.35,0,58236.2,0
15,58403.91,0,19878.89,0,58403.91,0
16,62439.89,0,22167.53,0,62439.89,0
17,62239.89,0,25468.03,0,62239.89,0
18,63008.18,0,38340.62,0,63008.18,0
19,63008.18,0,24138.21,0,63008.18,0
20,4469.85,0,4443.97,0,4469.85,0
21,4495.24,0,4460.588,0,4495.24,0
22,4508.587,0,4477.96,0,4508.587,0
23,4510.718,0,4488.27,0,4510.718,0
24,4512.348,0,4485.393,0,4512.348,0
25,4512.348,0,4482.021,0,4512.348,0
26,4512.45,0,4496.131,0,4512.45,0
27,4512.654,0,4495.13,0,4512.654,0
28,4512.961,0,4497.699,0,4512.961,0
29,4512.961,0,4495.354,0,4512.961,0
30,4762.798,0,4736.624,0,4762.798,0
31,4764.056,0,4734.893,0,4764.056,0
32,7373.394,0,4886.302,0,7373.394,0
33,7973.823,0,5137.526,0,7973.823,0
34,51698.43,0,8875.324,0,51698.43,0
35,51698.32,0,15345.34,0,51698.32,0
36,53779.98,0,24548.43,0,53779.98,0
37,52379.98,0,20555.17,0,52379.98,0
38,56101.89,0,24197.25,0,56101.89,0
39,56101.89,0,25761.03,0,56101.89,0
40,6795.709,0,5672.753,0,6795.709,0
41,6795.814,0,5184.283,0,6795.814,0
42,37131.91,0,6826.017,0,37131.91,0
43,37131.81,0,6970.884,0,37131.81,0
44,52897.21,0,21537.49,0,52897.21,0
45,52897.21,0,16577.77,0,52897.21,0
46,69704.69,0,20629.93,0,69704.69,0
47,69504.8,0,17896.07,0,69504.8,0
48,69504.8,0,20333.39,0,69504.8,0
49,72072.68,0,23956.62,0,72072.68,0
50,4727.392,0,4703.241,0,4727.392,0
51,5384.319,0,4745.088,0,5384.319,0
52,29625.56,0,6300.464,0,29625.56,0
53,27025.45,0,6230.313,0,27025.45,0
54,62238.08,0,10650.77,0,62238.08,0
55,62038.08,0,18988.46,0,62038.08,0
56,65639.7,0,27748.22,0,65639.7,0
57,81969.52,0,45224.77,0,81969.52,0
58,81969.52,0,37575.21,0,81969.52,0
59,84970.33,0,37694.22,0,84970.33,0
60,4513.477,0,4453.126,0,4513.477,0
61,4522.069,0,4473.076,0,4522.069,0
62,32048.72,0,5979.421,0,32048.72,0
63,33448.72,0,5901.224,0,33448.72,0
64,29248.72,0,5754.536,0,29248.72,0
65,55505.2,0,9900.774,0,55505.2,0
66,55505.2,0,7756.265,0,55505.2,0
67,79929.5,0,15145.86,0,79929.5,0
68,79929.5,0,14876.43,0,79929.5,0
69,79929.5,0,20447.8,0,79929.5,0
70,17617.68,0,5523.404,0,17617.68,0
71,29759.81,0,9769.994,0,29759.81,0
72,39070.18,0,11818.9,0,39070.18,0
73,38670.29,0,8788.406,0,38670.29,0
74,39400.84,0,13768.59,0,39400.84,0
75,43803.89,0,12553.83,0,43803.89,0
76,49039.49,0,13782.82,0,49039.49,0
77,49039.39,0,11203.7,0,49039.39,0
78,49039.49,0,9167.332,0,49039.49,0
79,48839.49,0,11470.22,0,48839.49,0
80,30459.52,0,7639.902,0,30459.52,0
81,31106.94,0,8555.927,0,31106.94,0
82,38865.63,0,10942.38,0,38865.63,0
83,40392.22,0,11554.26,0,40392.22,0
84,51545.91,0,14622.48,0,51545.91,0
85,51545.91,0,8823.455,0,51545.91,0
86,51545.91,0,10471.19,0,51545.91,0
87,56391.39,0,11166.16,0,56391.39,0
88,56391.39,0,9685.603,0,56391.39,0
89,56391.39,0,12062.54,0,56391.39,0
